"condition","architecture","fit_score_0_100","effect_type","penalty_rate","hard_reject","reason","hard_reject_reason","penalty_reason","short_reason","technical_reason"
"sync_api_backend","A_Traditional_Web","80","fit","0.0","False","Good sync API fit; higher ops overhead","","","Good fit — higher ops","EC2 handles sync workloads well; manual scaling adds operational effort"
"sync_api_backend","B_Managed_Container","88","fit","0.0","False","Excellent sync API fit with container scaling","","","Excellent fit","ECS Fargate scales containers horizontally for sync API traffic patterns"
"sync_api_backend","C_Serverless_API","92","fit","0.0","False","Best fit: Lambda designed for sync API workloads","","","Best fit","API Gateway + Lambda is purpose-built for synchronous request/response APIs"
"sync_api_backend","D_High_Scale_Microservices","75","fit","0.0","False","Overkill for most sync APIs; high ops cost","","","Good fit — overkill","EKS handles sync APIs but adds unnecessary complexity for most startup use cases"
"sync_api_backend","E_Event_Driven_Serverless","38","penalty","0.25","False","Async by design; forcing sync responses breaks event-driven pattern","","Async-first design is poor fit for synchronous APIs; forced sync wrappers add latency and complexity","Poor fit — async mismatch","EventBridge + SQS + Lambda pipeline is asynchronous by design; synchronous response semantics require awkward workarounds"
"async_event_driven","A_Traditional_Web","40","penalty","0.15","False","Sync-oriented; async event handling awkward on EC2","","EC2-based web servers are synchronous-first; implementing event queuing requires additional services not native to this architecture","Awkward on EC2","Traditional web servers poll or long-poll; native async event routing requires adding SQS/SNS manually"
"async_event_driven","B_Managed_Container","65","fit","0.0","False","Containers handle async but add orchestration overhead","","","Handles async — some overhead","ECS can run async workers but requires separate task definitions and queue integration"
"async_event_driven","C_Serverless_API","70","fit","0.0","False","Good async fit; Lambda + API GW works for event-driven flows","","","Good async fit","Lambda supports async invocation; works well for moderate event-driven flows"
"async_event_driven","D_High_Scale_Microservices","80","fit","0.0","False","Strong async support with EKS + queue integration","","","Strong async support","EKS runs dedicated async worker pods integrated with SQS and EventBridge natively"
"async_event_driven","E_Event_Driven_Serverless","95","fit","0.0","False","Perfect match: Lambda + SQS + EventBridge designed for async events","","","Perfect fit","Architecture is purpose-built for async: EventBridge routes → SQS buffers → Lambda workers process"
"data_heavy","A_Traditional_Web","60","fit","0.0","False","EC2 + RDS handles moderate data; manual scaling limits","","","Moderate fit","EC2 + RDS can handle data workloads but lacks native in-memory caching and requires manual vertical scaling"
